supercolony.ind,supercolony,reserve,yr,area,forest.dense.p
1,Cerro Pelon E,1,2004,0,47.32824427
1,Cerro Pelon E,1,2005,0,47.25609756
1,Cerro Pelon E,1,2006,0,47.25609756
1,Cerro Pelon E,1,2007,0.38,47.25609756
1,Cerro Pelon E,1,2008,0,47.25609756
1,Cerro Pelon E,1,2009,0,47.25609756
1,Cerro Pelon E,1,2010,0,47.25609756
1,Cerro Pelon E,1,2011,0,47.25609756
1,Cerro Pelon E,1,2012,0.06,47.25609756
1,Cerro Pelon E,1,2013,0.04,47.25609756
1,Cerro Pelon E,1,2014,0.06,47.32824427
1,Cerro Pelon E,1,2015,0.8,47.32824427
1,Cerro Pelon E,1,2016,0.04,48.39694656
1,Cerro Pelon E,1,2017,0.51,49.3129771
1,Cerro Pelon E,1,2018,0.07,50.38167939
2,Cerro Pelon W,1,2004,0.24,60.27241771
2,Cerro Pelon W,1,2005,2,59.31818182
2,Cerro Pelon W,1,2006,0.98,58.40909091
2,Cerro Pelon W,1,2007,0.68,58.18181818
2,Cerro Pelon W,1,2008,0.38,57.84090909
2,Cerro Pelon W,1,2009,0.53,57.61363636
2,Cerro Pelon W,1,2010,0.56,57.5
2,Cerro Pelon W,1,2011,0.53,57.32122588
2,Cerro Pelon W,1,2012,0.03,57.2077185
2,Cerro Pelon W,1,2013,0.03,57.2077185
2,Cerro Pelon W,1,2014,0.18,57.2077185
2,Cerro Pelon W,1,2015,0.13,57.2077185
2,Cerro Pelon W,1,2016,0.28,60.8399546
2,Cerro Pelon W,1,2017,0.23,64.39909297
2,Cerro Pelon W,1,2018,1.67,68.02721088
3,E Contepec,1,2004,0,84.80662983
3,E Contepec,1,2005,0,84.80662983
3,E Contepec,1,2006,0.09,84.80662983
3,E Contepec,1,2007,0,84.80662983
3,E Contepec,1,2008,0.01,84.80662983
3,E Contepec,1,2009,0,84.80662983
3,E Contepec,1,2010,0,84.80662983
3,E Contepec,1,2011,0,84.80662983
3,E Contepec,1,2012,0,84.80662983
3,E Contepec,1,2013,0,84.80662983
3,E Contepec,1,2014,0,84.80662983
3,E Contepec,1,2015,0,84.80662983
3,E Contepec,1,2016,0,88.12154696
3,E Contepec,1,2017,0,91.68975069
3,E Contepec,1,2018,0.01,95.01385042
4,E El Rosario,1,2004,1.06,65.09186352
4,E El Rosario,1,2005,1.23,65.09186352
4,E El Rosario,1,2006,2.49,65.09186352
4,E El Rosario,1,2007,1.48,65.09186352
4,E El Rosario,1,2008,2.37,65.09186352
4,E El Rosario,1,2009,0.5,65.09186352
4,E El Rosario,1,2010,1.74,64.30446194
4,E El Rosario,1,2011,1.37,63.51706037
4,E El Rosario,1,2012,0.63,62.72965879
4,E El Rosario,1,2013,0.52,62.72965879
4,E El Rosario,1,2014,0.57,62.72965879
4,E El Rosario,1,2015,1.09,62.72965879
4,E El Rosario,1,2016,1.17,65.09186352
4,E El Rosario,1,2017,0.6,67.89473684
4,E El Rosario,1,2018,2.46,70.26315789
5,E La Mesa,1,2004,0,57.02479339
5,E La Mesa,1,2005,0.22,56.19834711
5,E La Mesa,1,2006,0.61,55.64738292
5,E La Mesa,1,2007,0.33,54.54545455
5,E La Mesa,1,2008,0,53.16804408
5,E La Mesa,1,2009,0,52.0661157
5,E La Mesa,1,2010,0,49.58677686
5,E La Mesa,1,2011,0,47.38292011
5,E La Mesa,1,2012,0.03,44.90358127
5,E La Mesa,1,2013,0,44.90358127
5,E La Mesa,1,2014,0.01,45.02762431
5,E La Mesa,1,2015,0,45.02762431
5,E La Mesa,1,2016,0.06,45.02762431
5,E La Mesa,1,2017,0.04,45.02762431
5,E La Mesa,1,2018,0.12,45.02762431
6,IC Carpinteros,1,2004,0,79.94505495
6,IC Carpinteros,1,2005,0.1,79.94505495
6,IC Carpinteros,1,2006,0.39,79.94505495
6,IC Carpinteros,1,2007,0.06,79.94505495
6,IC Carpinteros,1,2008,0.17,80.21978022
6,IC Carpinteros,1,2009,0.29,80.21978022
6,IC Carpinteros,1,2010,0.35,80.21978022
6,IC Carpinteros,1,2011,0.2,80.21978022
6,IC Carpinteros,1,2012,0,80.21978022
6,IC Carpinteros,1,2013,0.01,80.21978022
6,IC Carpinteros,1,2014,0,80.21978022
6,IC Carpinteros,1,2015,0,80.21978022
6,IC Carpinteros,1,2016,0.06,83.79120879
6,IC Carpinteros,1,2017,0,87.60330579
6,IC Carpinteros,1,2018,0.07,91.184573
7,IC Crescencio Morales,1,2004,0.1,79.88980716
7,IC Crescencio Morales,1,2005,0.46,75.27472527
7,IC Crescencio Morales,1,2006,0.16,70.87912088
7,IC Crescencio Morales,1,2007,0,53.84615385
7,IC Crescencio Morales,1,2008,0,36.63911846
7,IC Crescencio Morales,1,2009,0,19.55922865
7,IC Crescencio Morales,1,2010,0,19.55922865
7,IC Crescencio Morales,1,2011,0,19.50549451
7,IC Crescencio Morales,1,2012,0,19.50549451
7,IC Crescencio Morales,1,2013,0,19.50549451
7,IC Crescencio Morales,1,2014,0,19.55922865
7,IC Crescencio Morales,1,2015,0,19.55922865
7,IC Crescencio Morales,1,2016,0,20.38567493
7,IC Crescencio Morales,1,2017,0,21.48760331
7,IC Crescencio Morales,1,2018,0,22.31404959
8,PP San Andres,0,2004,0,89.77900552
8,PP San Andres,0,2005,0.22,90.90909091
8,PP San Andres,0,2006,0,92.01101928
8,PP San Andres,0,2007,0.31,91.73553719
8,PP San Andres,0,2008,0.03,91.71270718
8,PP San Andres,0,2009,0.04,91.43646409
8,PP San Andres,0,2010,0.1,90.8839779
8,PP San Andres,0,2011,0.1,90.33149171
8,PP San Andres,0,2012,0.01,89.77900552
8,PP San Andres,0,2013,0,86.1878453
8,PP San Andres,0,2014,0,82.32044199
8,PP San Andres,0,2015,0.25,78.72928177
8,PP San Andres,0,2016,0.07,78.72928177
8,PP San Andres,0,2017,0.08,78.72928177
8,PP San Andres,0,2018,0.04,78.72928177
9,Rio de Parras,0,2004,0,98.4
9,Rio de Parras,0,2005,0.28,98.13333333
9,Rio de Parras,0,2006,0.07,98.13333333
9,Rio de Parras,0,2007,0.27,98.13333333
9,Rio de Parras,0,2008,0.13,98.13333333
9,Rio de Parras,0,2009,0,98.13333333
9,Rio de Parras,0,2010,0.28,98.13333333
9,Rio de Parras,0,2011,0.04,98.13333333
9,Rio de Parras,0,2012,0,98.13333333
9,Rio de Parras,0,2013,0,98.13333333
9,Rio de Parras,0,2014,0.03,98.13333333
9,Rio de Parras,0,2015,0.18,98.13333333
9,Rio de Parras,0,2016,0.02,98.4
9,Rio de Parras,0,2017,0,98.4
9,Rio de Parras,0,2018,0.03,98.66666667
10,San Antonio Albarranes,0,2004,0.35,76.63043478
10,San Antonio Albarranes,0,2005,0.56,76.63043478
10,San Antonio Albarranes,0,2006,0.17,76.63043478
10,San Antonio Albarranes,0,2007,0.4,76.63043478
10,San Antonio Albarranes,0,2008,0.19,77.11171662
10,San Antonio Albarranes,0,2009,0.03,77.11171662
10,San Antonio Albarranes,0,2010,0.2,77.11171662
10,San Antonio Albarranes,0,2011,0.19,77.11171662
10,San Antonio Albarranes,0,2012,0.11,77.11171662
10,San Antonio Albarranes,0,2013,0.02,77.38419619
10,San Antonio Albarranes,0,2014,0.07,77.92915531
10,San Antonio Albarranes,0,2015,0.3,78.20163488
10,San Antonio Albarranes,0,2016,0.33,78.20163488
10,San Antonio Albarranes,0,2017,0.68,78.20163488
10,San Antonio Albarranes,0,2018,0.48,78.20163488
11,San Francisco Oxtotilpan,0,2004,0.1,86.10354223
11,San Francisco Oxtotilpan,0,2005,0.11,86.3760218
