county.ind,state.county,yr,wk,diffGDD.9403
1,17007,1994,16,62.0372
1,17007,1994,17,70.8479
1,17007,1994,18,54.5437
1,17007,1994,19,70.498
1,17007,1994,20,58.1104
1,17007,1994,21,47.4988
1,17007,1994,22,31.066
1,17007,1994,23,21.054
1,17007,1994,24,-7.4597
1,17007,1995,16,-6.5718
1,17007,1995,17,21.7379
1,17007,1995,18,23.8777
1,17007,1995,19,5.283
1,17007,1995,20,29.3164
1,17007,1995,21,25.5198
1,17007,1995,22,36.752
1,17007,1995,23,63.369
1,17007,1995,24,82.9993
1,17007,1996,16,-61.3598
1,17007,1996,17,-66.8461
1,17007,1996,18,-59.9073
1,17007,1996,19,-68.265
1,17007,1996,20,-80.9236
1,17007,1996,21,-99.0042
1,17007,1996,22,-121.119
1,17007,1996,23,-142.467
1,17007,1996,24,-135.7577
1,17007,1997,16,-59.6588
1,17007,1997,17,-55.6381
1,17007,1997,18,-50.9923
1,17007,1997,19,-72.937
1,17007,1997,20,-66.5126
1,17007,1997,21,-47.0482
1,17007,1997,22,-43.236
1,17007,1997,23,-52.307
1,17007,1997,24,-65.8027
1,17007,1998,16,32.7872
1,17007,1998,17,35.7829
1,17007,1998,18,58.6657
1,17007,1998,19,50.181
1,17007,1998,20,50.0304
1,17007,1998,21,52.0798
1,17007,1998,22,38.29
1,17007,1998,23,30.787
1,17007,1998,24,37.5553
1,17007,1999,16,66.6862
1,17007,1999,17,54.2359
1,17007,1999,18,47.4947
1,17007,1999,19,62.595
1,17007,1999,20,59.3314
1,17007,1999,21,68.4758
1,17007,1999,22,112.046
1,17007,1999,23,116.389
1,17007,1999,24,106.6983
1,17007,2000,16,20.5372
1,17007,2000,17,-0.0281
1,17007,2000,18,-15.6543
1,17007,2000,19,-24.291
1,17007,2000,20,-19.9246
1,17007,2000,21,-47.0812
1,17007,2000,22,-64.742
1,17007,2000,23,-75.878
1,17007,2000,24,-73.2867
1,17007,2001,16,22.3502
1,17007,2001,17,8.1609
1,17007,2001,18,6.5347
1,17007,2001,19,-10.204
1,17007,2001,20,0.2264
1,17007,2001,21,15.7748
1,17007,2001,22,26.708
1,17007,2001,23,44.979
1,17007,2001,24,62.7523
1,17007,2002,16,-25.9148
1,17007,2002,17,-11.1071
1,17007,2002,18,1.2057
1,17007,2002,19,42.185
1,17007,2002,20,38.8354
1,17007,2002,21,66.3218
1,17007,2002,22,73.634
1,17007,2002,23,91.095
1,17007,2002,24,93.2983
1,17007,2003,16,-50.8928
1,17007,2003,17,-57.1461
1,17007,2003,18,-65.7683
1,17007,2003,19,-55.045
1,17007,2003,20,-68.4896
1,17007,2003,21,-82.5372
1,17007,2003,22,-89.399
1,17007,2003,23,-97.021
1,17007,2003,24,-100.9967
1,17007,2004,16,32.9562
1,17007,2004,17,1.5569
1,17007,2004,18,-33.3303
1,17007,2004,19,-45.267
