yr,dec,dense
1994,7.81,83.29543468
1995,12.61,82.78252255
1996,18.19,82.2575391
1997,5.77,81.61819238
1998,5.56,81.09319747
1999,8.97,80.58027354
2000,3.83,80.05527863
2001,9.36,79.37459939
2002,7.54,78.63450592
2003,11.12,77.95360748
2004,2.19,77.60827788
2005,5.92,77.17738909
2006,6.67,76.83267744
2007,4.61,75.3570921
2008,5.06,73.89481391
2009,1.92,72.41556059
2010,4.02,71.94779904
2011,2.89,71.46923871
2012,1.19,71.00124478
2013,0.67,70.76692162
2014,1.13,70.57249384
2015,4.01,70.33817068
2016,2.89,71.64137157
2017,2.48,72.99764975
2018,5.98,74.30196574
